image_name,slice,mean_HistANG,mean_HistLEN,mean_HistSTR,mean_HistWID,median_HistANG,median_HistLEN,median_HistSTR,median_HistWID,n_HistANG,std_HistANG,std_HistLEN,std_HistSTR,std_HistWID,z_depth_HistLEN,Area (microns^2),Lacunarity,Total Length (microns),Endpoints,HGU (microns),Branchpoints,Box-Counting Fractal Dimension,Curvature_40.0,% High Density Matrix,Alignment,TotalImageArea,texture_mean_asmmean.,texture_mean_contrastmean.,texture_mean_correlationmean.,texture_mean_dissimilaritymean.,texture_mean_glcmmeanmean.,texture_mean_glcmvariancemean.,texture_mean_homogeneitymean.,texture_median_asmmean.,texture_median_contrastmean.,texture_median_correlationmean.,texture_median_dissimilaritymean.,texture_median_glcmmeanmean.,texture_median_glcmvariancemean.,texture_median_homogeneitymean.,texture_std_asmmean.,texture_std_contrastmean.,texture_std_correlationmean.,texture_std_dissimilaritymean.,texture_std_glcmmeanmean.,texture_std_glcmvariancemean.,texture_std_homogeneitymean.,concentration_corrp,type_autoc,roi_senth,texture3d_mean_autoc,texture3d_mean_contr,texture3d_mean_corrm,texture3d_mean_corrp,texture3d_mean_cprom,texture3d_mean_cshad,texture3d_mean_denth,texture3d_mean_dissi,texture3d_mean_dvarh,texture3d_mean_energ,texture3d_mean_entro,texture3d_mean_homom,texture3d_mean_homop,texture3d_mean_idmnc,texture3d_mean_indnc,texture3d_mean_inf1h,texture3d_mean_inf2h,texture3d_mean_maxpr,texture3d_mean_savgh,texture3d_mean_senth,texture3d_mean_sosvh,texture3d_mean_svarh,texture3d_median_autoc,texture3d_median_contr,texture3d_median_corrm,texture3d_median_corrp,texture3d_median_cprom,texture3d_median_cshad,texture3d_median_denth,texture3d_median_dissi,texture3d_median_energ,texture3d_median_entro,texture3d_median_homom,texture3d_median_homop,texture3d_median_idmnc,texture3d_median_indnc,texture3d_median_inf1h,texture3d_median_inf2h,texture3d_median_maxpr,texture3d_median_savgh,texture3d_median_senth,texture3d_median_sosvh,texture3d_median_svarh,texture3d_std_autoc,texture3d_std_contr,texture3d_std_corrm,texture3d_std_corrp,texture3d_std_cprom,texture3d_std_cshad,texture3d_std_denth,texture3d_std_dissi,texture3d_std_dvarh,texture3d_std_energ,texture3d_std_entro,texture3d_std_homom,texture3d_std_homop,texture3d_std_idmnc,texture3d_std_indnc,texture3d_std_inf1h,texture3d_std_inf2h,texture3d_std_maxpr,texture3d_std_savgh,texture3d_std_senth,texture3d_std_sosvh,texture3d_std_svarh,distance3d_indnc,neighbor3d_entro,bin_num3d_denth,short_image_name
appliedMASKiso_flu_1mgml_roi1_8bit.ome,1,67.73730588,62.71588235,0.914933529,3.880352941,69.444,44.395,0.91865,3.6728,17.0,47.14118627,36.03834439,0.046700007,0.7472079,1.0,2449,51.521,2041,57,35.807,13,1.1355,0.0154,0.0713,0.1884,131072,0.5718469023704529,1512.60546875,0.3811401128768921,16.861454010009766,18.80333137512207,1377.791748046875,0.7421145439147949,0.551433801651001,1552.3660888671875,0.42177337408065796,17.11932945251465,17.495370864868164,1465.5196533203125,0.7503404021263123,0.26371675729751587,928.6878662109375,0.16528278589248657,10.465581893920898,14.549532890319824,904.4402465820312,0.1783740371465683,1mgml,flu,roi1,15608.257381258023,6240.730813026646,28169.449737548828,27640.44585418701,440.1776360737873,29616.097534179688,27499.773627875198,15499.961512184012,6240.730926895923,31315.663992297817,21869.102254611706,53741.14045785195,53606.570817287124,65130.215233204966,62859.125588361145,65190.16745758057,14626.105872267466,39520.94918699187,31772.408215661104,25255.715896151218,14926.918699186992,14055.514120667522,15929.5,5901.5,28073.0,27639.0,175.0,29608.0,28072.5,15571.0,28504.5,21549.0,53108.5,53052.0,65139.0,62751.0,65535.0,13352.0,38583.5,32310.5,24964.0,15713.5,14320.5,3537.3925144546997,3415.6075168463217,1916.0965626756627,162.03855012821722,1111.8488484788663,182.7628916799539,6624.066927584735,6509.599166917775,3415.6078655533365,14175.386270210434,8917.969521032574,5600.717597336178,5772.034816101164,244.70427887204488,1318.995830028256,2046.65823703427,9361.902552243675,13016.404286981015,3567.343411360225,8752.417240293393,3850.2448043611444,2945.401419346535,D1,N1,t,appliedMASKiso_1mgml_roi1_8bit.ome
appliedMASKiso_flu_1mgml_roi1_8bit.ome,2,74.95613077,63.34969231,0.927725385,4.282923077,73.009,39.402,0.93416,4.4899,13.0,59.75645637,57.00510807,0.035414414,0.837649535,2.0,2483,50.7882,2072,63,32.8889,10,1.1374,0.016,0.0773,0.2058,131072,0.5699909329414368,1495.1143798828125,0.39228662848472595,16.754499435424805,18.614742279052734,1409.7501220703125,0.7443506121635437,0.5369768738746643,1595.3951416015625,0.4192255735397339,17.798158645629883,17.933868408203125,1537.706298828125,0.7409482002258301,0.25109463930130005,883.594482421875,0.1823042929172516,9.934587478637695,13.21251106262207,887.542236328125,0.16449704766273499,1mgml,flu,roi1,15551.948988653183,6574.673479975098,28240.497032165527,27640.52935028076,541.0058103340942,29621.27862548828,28333.396140278066,16302.881925710728,6574.67368748703,29052.30577207696,23357.602303382446,52983.77178095708,52839.47508633448,65103.44400592008,62686.490577207696,65132.28768157959,14896.45374830184,37503.81746423286,31718.569906265417,26763.551151691223,14868.389245189936,13756.11011346818,15768.0,6299.5,28073.0,27639.0,200.0,29608.0,28420.0,16597.5,26269.0,23140.5,52219.0,52119.0,65108.0,62546.0,65535.0,13149.0,36128.0,32147.0,26485.0,15564.0,14030.0,3438.382506002686,3288.4566607660518,2166.3307363158547,147.27073368256455,1451.3571863855514,238.83116361058762,6123.577747417889,6101.196421299974,3288.4571080616565,13408.04132636504,8788.412472579763,5271.549890138195,5437.594437836974,235.69527456910163,1244.7616370964315,2264.678391453394,9907.88608636444,12522.883532117696,3471.0065933121077,8619.604927433178,3763.647960416658,2732.740194242178,D1,N1,t,appliedMASKiso_1mgml_roi1_8bit.ome
appliedMASKiso_flu_1mgml_roi1_8bit.ome,3,80.1425625,69.0845,0.9057725,3.673225,71.5825,49.742,0.91636,3.60335,16.0,58.08042262,49.00142506,0.046210994,0.647384291,3.0,2483,50.7882,2024,52,38.9231,6,1.1559,0.0114,0.0776,0.3025,131072,0.5617361068725586,1532.3458251953125,0.4177723526954651,17.06720542907715,19.59477996826172,1500.3358154296875,0.7384406328201294,0.536907970905304,1641.140380859375,0.4362594485282898,18.065832138061523,18.623865127563477,1560.380859375,0.7415887713432312,0.2540096640586853,892.9337768554688,0.16702398657798767,10.020849227905273,13.975598335266113,963.46923828125,0.16729578375816345,1mgml,flu,roi1,15767.80711408077,6686.886256891975,28261.852073669434,27641.260665893555,578.8837043087605,29620.710693359375,28627.242903818664,16464.724423116193,6686.886461098632,28251.51842389702,23709.88748213192,52736.53355605778,52579.85231404147,65091.21863024467,62625.86813402771,65122.038024902344,15030.127947336923,36922.424486587406,31950.445416134422,27159.779150500308,15151.987226098065,13880.417903114867,15902.0,6269.0,28073.0,27639.0,206.0,29608.0,28418.5,16497.0,25931.0,23229.5,52185.0,52092.0,65107.0,62537.0,65535.0,13333.0,36008.0,32281.0,26644.5,15663.0,14154.0,3372.2412273715895,3435.5576357353225,2208.592482431972,137.78120908163427,1571.1428737081037,252.00679823609855,6079.391426677479,6087.220999952978,3435.5581079861645,12660.06174966905,8760.23576290077,5048.818853683762,5238.53836043804,240.600987267221,1206.9459194572203,2284.777245453925,9929.214804716816,12065.23200995673,3363.3539647063803,8545.330862933544,3736.8277576462306,2659.988410072008,D1,N1,t,appliedMASKiso_1mgml_roi1_8bit.ome
appliedMASKiso_flu_1mgml_roi1_8bit.ome,4,92.58478947,64.56905263,0.920207895,3.546994737,72.474,42.649,0.92731,3.3243,19.0,54.92307952,45.56400133,0.032068675,0.839712847,4.0,2550,49.4012,2116,54,39.1852,13,1.1654,0.0218,0.0881,0.2358,131072,0.5282473564147949,1602.6353759765625,0.4091888666152954,18.07465171813965,22.19732666015625,1532.651123046875,0.7080161571502686,0.5080805420875549,1671.5908203125,0.4460097849369049,18.619415283203125,18.92409896850586,1497.3056640625,0.7226189374923706,0.2811092734336853,953.1524658203125,0.1567012369632721,10.90353775024414,17.19061279296875,1000.5930786132812,0.1983109563589096,1mgml,flu,roi1,15443.554843736472,6716.263492063492,28304.52596282959,27640.63694000244,607.1377777777777,29623.31996154785,28643.160544217688,16536.57768707483,6716.263492063492,28418.060687386373,23753.466757369613,52785.30759241624,52630.09072807549,65092.962340922866,62637.1432776383,65059.889961242676,14990.334869277773,36925.08267682452,31613.68401004242,27236.213424036283,14756.285256687732,13575.615877413211,15684.0,6295.0,28073.0,27639.0,209.0,29608.0,28426.0,16571.0,25919.0,23362.0,52161.0,52077.0,65107.0,62532.0,65535.0,13299.0,35957.0,32060.0,26775.0,15439.0,13824.0,3366.615009423908,3486.936325618322,2398.063357637961,141.29882973306877,1811.1357285124664,282.3092452339352,6087.246741951582,6107.410097394113,3486.936325618322,13065.720227832122,8804.68298686756,5165.911140247806,5356.305872587937,245.7513389530235,1233.6462641299472,2465.242136553511,9993.383929128142,12368.064474734334,3376.12953117288,8621.343623136227,3720.9244207796623,2630.7719535626115,D1,N1,t,appliedMASKiso_1mgml_roi1_8bit.ome
appliedMASKiso_flu_1mgml_roi1_8bit.ome,5,97.94117647,67.14570588,0.936208235,3.885782353,83.418,60.63,0.93766,3.9044,17.0,60.95673614,26.00164229,0.024448993,0.826736693,5.0,2505,50.3245,2087,61,34.2131,7,1.1635,0.0202,0.0816,0.2097,131072,0.5389952063560486,1530.9210205078125,0.40511226654052734,17.346834182739258,22.47087287902832,1508.930908203125,0.7123817801475525,0.5623049736022949,1518.7535400390625,0.4587175250053406,16.821779251098633,16.40779685974121,1361.020263671875,0.7576504349708557,0.290166974067688,907.0133056640625,0.164667546749115,10.547401428222656,19.00752830505371,1046.2073974609375,0.20865559577941895,1mgml,flu,roi1,15661.351846657317,6756.874061067213,28292.158478992304,27641.105926513672,656.2707052970442,29624.043083190918,28733.025753585018,16542.977368061653,6756.874158618672,28349.836372136513,23813.372256365234,52751.71463300608,52587.10172978027,65088.6889200561,62625.58036465638,65080.14301300049,15440.714703132306,37027.77438055166,31827.131463300608,27291.19139596137,14984.590088826555,13767.36203833567,15823.0,6274.0,28073.0,27639.0,209.0,29608.0,28430.0,16467.0,26086.0,23332.0,52210.0,52143.0,65107.0,62548.0,65535.0,13543.5,36150.0,32197.0,26658.0,15563.0,14040.0,3538.5271484962864,3617.9381198469036,2339.8400801627545,120.86627832693843,2033.524442814789,301.57134881302227,6145.12287384399,6191.9017331938785,3617.9387184753855,12793.23181601993,8888.209827063396,5124.002285197181,5328.7330757986565,252.13455709119364,1231.609393381673,2456.4646149055975,10291.845419047488,12129.401230445133,3469.23517853696,8673.573660636164,3877.8820898105014,2762.738554334472,D1,N1,t,appliedMASKiso_1mgml_roi1_8bit.ome
appliedMASKiso_flu_1mgml_roi1_8bit.ome,6,80.59838889,57.62216667,0.91254,3.577977778,67.4595,46.836,0.919615,3.2604,18.0,57.46448654,30.64712575,0.029521195,0.909213493,6.0,2110,60.1199,1797,52,34.5577,11,1.1255,0.0121,0.0701,0.1364,131072,0.5690051913261414,1490.4923095703125,0.38614362478256226,16.691617965698242,20.58197784423828,1473.8897705078125,0.735591471195221,0.5979028344154358,1436.6845703125,0.4055060148239136,15.67497444152832,14.473482131958008,1222.6982421875,0.7801027297973633,0.27888837456703186,899.7149658203125,0.17397251725196838,10.378243446350098,18.257848739624023,1102.841064453125,0.1966414600610733,1mgml,flu,roi1,16064.583451279259,6697.352145995269,28263.887634277344,27640.430809020996,654.9509969584319,29620.327781677246,28593.17010251211,16277.803649881716,6697.3522586459385,28748.807185628742,23458.107356088767,52885.97985846489,52709.89352204681,65089.228633641804,62650.71453456723,65153.23316192627,15430.37393405344,37538.303320631465,32216.725095264017,26994.06240847133,15408.087642896025,14175.674904735983,16088.0,6113.0,28073.0,27639.0,206.0,29608.0,28367.0,16069.0,27049.0,22748.0,52537.0,52456.0,65117.0,62622.0,65535.0,13805.0,37169.0,32466.0,26353.0,15799.0,14458.0,3884.2633819962425,3809.9121006423647,2112.1444515605695,143.77093328249612,2054.8814970869657,262.3230143349234,6441.2798288213435,6455.9693567181375,3809.912329294426,12621.107299754389,9173.187035721408,5130.696851326816,5357.304596387246,261.2097853693678,1243.0373942818358,2214.001626851206,10053.417201909127,12116.538581134762,3675.402733354993,8906.051975492832,4255.597532711345,3083.2268476276627,D1,N1,t,appliedMASKiso_1mgml_roi1_8bit.ome
appliedMASKiso_flu_1mgml_roi1_8bit.ome,7,87.64923529,55.87447059,0.924927647,3.987570588,84.289,52.146,0.9272,4.0259,17.0,54.78716433,25.42836708,0.043245273,0.762292419,7.0,2059,61.6586,1787,57,31.3509,12,1.1191,0.0091,0.0669,0.03719,131072,0.6100049018859863,1378.8990478515625,0.3755158483982086,15.34386920928955,17.82114601135254,1338.1962890625,0.7657042741775513,0.6390222311019897,1310.72119140625,0.3859907388687134,14.264581680297852,12.390229225158691,1068.370849609375,0.804791271686554,0.26356783509254456,883.1058959960938,0.17341643571853638,10.144449234008789,16.617778778076172,1060.9591064453125,0.18286901712417603,1mgml,flu,roi1,16177.893553907586,6692.338930936613,28263.04217529297,27640.938194274902,684.69394512772,29621.29709625244,28615.901490066226,16278.22871333964,6692.339049195837,28762.346377638336,23504.7270577105,52905.332572732455,52730.27564175699,65090.304506560184,62655.55082715345,65148.707206726074,15701.184063220284,37609.70302338848,32329.510553337135,27054.400662251657,15538.208328579578,14286.462521391899,16107.0,6111.5,28073.0,27639.0,205.0,29608.0,28346.0,16046.5,26913.0,22715.0,52587.0,52502.0,65118.0,62627.0,65535.0,13877.5,37305.0,32489.0,26267.0,15828.0,14514.0,3929.4208447854976,3691.5970982216973,2155.745637618487,113.9143278650898,2080.462029829026,267.330077600946,6357.253016397227,6352.140545750645,3691.5973023199554,12587.139380130475,9111.958564181501,5110.038440253932,5327.654288834862,254.91323362426988,1233.5564187702928,2298.7879878719023,10735.609769509305,12026.431733621777,3678.6769628428647,8905.718608503224,4248.940040266921,3127.184911867324,D1,N1,t,appliedMASKiso_1mgml_roi1_8bit.ome
appliedMASKiso_flu_1mgml_roi1_8bit.ome,8,88.548925,57.924375,0.9295575,3.901325,89.2045,47.264,0.940735,3.83385,16.0,59.37067554,33.8215855,0.041987953,1.064372918,8.0,2474,50.9802,2091,66,31.6818,11,1.1483,0.0105,0.0782,0.0408,131072,0.6239448189735413,1275.6195068359375,0.3652220368385315,14.378748893737793,16.48626708984375,1219.7120361328125,0.7770063281059265,0.6631903052330017,1163.030517578125,0.3622616231441498,12.92228889465332,11.861687660217285,1023.6016235351562,0.8201189637184143,0.2522353529930115,809.7385864257812,0.1877683848142624,9.36075210571289,15.461206436157227,949.3736572265625,0.17375388741493225,1mgml,flu,roi1,15567.471471764362,6600.177892561984,28269.284469604492,27641.68687438965,630.8471074380166,29623.72629547119,28367.23243801653,16258.86332644628,6600.177995867769,29479.35950453526,23334.308057851238,53133.06115283332,52983.16336681947,65105.28967131571,62716.55769043207,65109.12473297119,14989.07778153534,37897.7090607627,31700.065444260217,26823.64276859504,14813.017653369745,13777.849800058519,15709.0,6246.0,28073.0,27639.0,202.0,29608.0,28382.0,16450.5,26567.0,23036.0,52428.0,52337.0,65113.0,62588.0,65535.0,12848.5,36668.0,32081.0,26361.0,15436.0,13890.0,3875.8353941349337,3454.407728888387,2266.6059773378793,155.39959754593974,1918.8944656282965,285.140143539271,6229.465259500182,6219.71832563383,3454.4078506732058,13671.500189655919,8909.190882378382,5383.734375185599,5561.093230104494,246.6137385977724,1276.265223692198,2381.375489972378,10439.625338100117,12711.374772554002,3743.5651965830216,8757.661763585125,4167.168182992761,3062.5240907090074,D1,N1,t,appliedMASKiso_1mgml_roi1_8bit.ome
appliedMASKiso_flu_1mgml_roi1_8bit.ome,9,73.32339286,70.95042857,0.929759286,4.046571429,66.0435,47.372,0.938975,4.2574,14.0,47.84724966,54.15801528,0.02700396,0.946856368,9.0,2658,47.3126,2226,56,39.75,10,1.1601,0.0149,0.0793,0.04085,131072,0.6312187910079956,1237.208984375,0.39179471135139465,13.909839630126953,16.183765411376953,1232.6844482421875,0.7835348844528198,0.6623696088790894,1163.967529296875,0.40546712279319763,12.940683364868164,12.095304489135742,1052.145751953125,0.8194568753242493,0.24244610965251923,762.6889038085938,0.18925169110298157,8.792194366455078,14.6419677734375,930.8192749023438,0.16459444165229797,1mgml,flu,roi1,15943.020003846894,6348.629711751663,28283.044548034668,27642.25986480713,586.9569643217093,29621.721450805664,27767.04454747027,15649.86776859504,6348.629711751663,30272.23485285632,22662.761036081436,53468.230717445666,53322.0970378919,65117.16935949221,62792.907001346415,65099.137031555176,14376.166989164087,38842.13367955376,32096.41844585497,26147.732916750654,15164.265147143682,14213.987497595692,16123.5,5984.5,28073.0,27639.0,197.0,29608.0,28208.5,15707.0,27818.5,22273.5,53012.0,52899.0,65131.0,62715.0,65535.0,12655.5,38313.0,32503.0,25764.0,15746.5,14551.0,3776.7838109162194,3507.512152890846,2261.573982425118,158.58783980445673,1781.5609867044363,258.4429146719077,6526.215750448181,6519.858242613925,3507.512152890846,13535.135882900455,9079.04565584982,5437.999617729158,5614.527534098407,246.37550736379708,1287.3585276653407,2412.4262210293423,10161.820970624623,12713.648542559386,3655.801549622117,8965.678911904193,4089.545868652036,3058.6374924924253,D1,N1,t,appliedMASKiso_1mgml_roi1_8bit.ome
appliedMASKiso_flu_1mgml_roi1_8bit.ome,10,91.24486667,63.36125,0.925514167,3.547808333,84.1705,42.8295,0.92488,3.48125,12.0,45.75026895,40.71912419,0.033719831,0.829800719,10.0,2016,63.0164,1666,48,34.7083,7,1.0931,0.0109,0.0577,0.01451,131072,0.7040688395500183,1026.97705078125,0.44815659523010254,11.05026626586914,13.254364013671875,1135.5418701171875,0.8325242400169373,0.7612850666046143,857.5264282226562,0.5206640958786011,9.043606758117676,9.131647109985352,887.4544067382812,0.8762873411178589,0.21720363199710846,724.3016357421875,0.19010837376117706,7.955015659332275,12.406903266906738,913.5037841796875,0.13884331285953522,1mgml,flu,roi1,17694.407966124123,5804.841098841906,28262.480667114258,27642.924842834473,619.8107998922704,29619.152877807617,26654.256800430918,13964.256127120927,5804.841233503906,32079.208283710468,21534.39025047132,54547.11234616912,54374.64549424375,65142.45269286754,63022.14039962948,65200.13890838623,15324.23076923077,41390.23726346434,33901.5278549689,25024.40237005117,17106.640995103877,16031.265713907635,17173.0,4989.0,28073.0,27639.0,188.0,29608.0,26863.0,13023.0,31617.0,20290.0,54974.0,54934.0,65193.0,63164.0,65535.0,13129.5,42887.0,33536.0,23982.5,16524.0,16146.0,3230.4645212912465,3858.1526088955698,1948.1690607183966,156.550010384036,1832.6016160539991,231.29587136486376,7473.666148957336,7022.47257199009,3858.1530649292736,13191.755150341482,9904.464155945496,5292.620947263684,5535.510199223838,260.70663594323395,1282.181239831807,2136.167480096174,10708.393383437027,12489.074185346606,2918.5787908128646,9820.420696475585,3476.2722516562576,2507.3805838256562,D1,N1,t,appliedMASKiso_1mgml_roi1_8bit.ome
appliedMASKiso_flu_1mgml_roi1_8bit.ome,11,99.977,64.4745625,0.931305625,3.75549375,87.1085,63.1365,0.931475,3.87165,16.0,47.85084469,28.22198276,0.031495979,0.666389391,11.0,2085,60.8647,1722,56,30.75,5,1.1046,0.0099,0.0597,0.09127,131072,0.7034797072410583,1007.0534057617188,0.46729740500450134,10.913488388061523,13.24962329864502,1140.4788818359375,0.8325265645980835,0.7555798292160034,810.2974853515625,0.5198068022727966,8.661561012268066,9.584613800048828,936.0091552734375,0.8735706806182861,0.2121143341064453,716.0216064453125,0.1985950469970703,7.894847393035889,11.9024076461792,879.0341186523438,0.13554884493350983,1mgml,flu,roi1,17479.462776146087,5846.871506920867,28273.266777038574,27642.947395324707,614.9605641159571,29620.531509399414,26740.98380778271,14096.118829981719,5846.872159832855,32050.654705657005,21611.79054583442,54487.066147363046,54317.9311709871,65141.47465202401,63010.048014302134,65184.746589660645,15134.10524546066,41291.43200102158,33690.89145702976,25152.31875163228,16858.94726088622,15817.090026816499,17132.0,5094.5,28073.0,27639.0,189.0,29608.0,27094.5,13268.0,31134.0,20575.5,54772.0,54704.0,65187.0,63115.0,65535.0,12745.0,42564.0,33495.0,24307.5,16524.0,16097.0,3136.1655036464826,3763.2201311847048,1985.0748161314723,153.33058480443907,1710.7333785896726,228.30824818202228,7453.973902727505,6943.265488779111,3763.2209093984193,13395.16768260454,9900.181248845607,5322.839643434197,5548.63537892352,255.6666629890709,1281.30783203431,2185.2324301695144,10700.364738424832,12561.146923191036,2948.144948251478,9876.119749394398,3418.3357738531304,2479.431862609732,D1,N1,t,appliedMASKiso_1mgml_roi1_8bit.ome
appliedMASKiso_flu_1mgml_roi1_8bit.ome,12,101.9865,72.86183333,0.929171667,4.022825,82.4795,62.0485,0.92882,3.701,12.0,45.222568,37.51314785,0.027290241,1.086213562,12.0,2386,52.9342,1960,51,38.4314,10,1.1114,0.0144,0.0768,0.04597,131072,0.6548357009887695,1135.510986328125,0.4238623082637787,12.753191947937012,14.838855743408203,1168.4600830078125,0.8006601333618164,0.7010400295257568,955.841796875,0.4754573404788971,10.62660026550293,11.718738555908203,1085.260986328125,0.8423956632614136,0.228095144033432,741.7212524414062,0.2052249312400818,8.455536842346191,12.761115074157715,824.6055908203125,0.1520897001028061,1mgml,flu,roi1,15860.80655737705,6504.381751824818,28299.85368347168,27641.074882507324,609.4451511991658,29625.496810913086,28126.171532846714,15912.480187695515,6504.381751824818,29886.00208643815,23064.31188738269,53313.9176353701,53155.944063586685,65108.01500248386,62753.239244908094,65100.92753601074,14687.753225428103,38536.941877794336,32034.866766020863,26630.910114702816,15090.454843517138,14080.949031296572,16185.0,6085.0,28073.0,27639.0,209.0,29608.0,28322.5,15950.0,27417.0,22716.5,52758.0,52672.0,65123.0,62664.0,65535.0,12993.0,37705.0,32561.0,26280.0,15786.0,14477.0,3427.1540223823276,3578.8304445626836,2251.0620745348133,128.185783862881,1498.6271287331367,272.15244560519267,6619.0916889824275,6487.001093272807,3578.8304445626836,13598.519648520307,9151.671260444371,5416.238525232946,5602.98860107144,250.87020426396617,1287.4358405014505,2388.5875362604424,9875.052535340921,12650.208391541562,3447.914575141004,9039.468072689682,3784.6904676327235,2786.3699487312438,D1,N1,t,appliedMASKiso_1mgml_roi1_8bit.ome
appliedMASKiso_flu_1mgml_roi1_8bit.ome,13,88.2495,56.5880625,0.905146875,4.01584375,96.6605,49.2585,0.919495,4.03645,16.0,59.74026008,29.56239864,0.046751043,0.968473055,13.0,2475,50.9588,1981,64,30.9531,9,1.1316,0.013,0.0799,0.08277,131072,0.6475334763526917,1206.1546630859375,0.38738253712654114,13.481071472167969,14.63304328918457,1141.1282958984375,0.7959596514701843,0.6978157758712769,1003.0199584960938,0.4322923719882965,11.132528305053711,10.922819137573242,972.433349609375,0.8404217958450317,0.23106852173805237,796.19140625,0.18784692883491516,8.998893737792969,12.338525772094727,822.1588745117188,0.15258826315402985,1mgml,flu,roi1,15439.792454632283,6849.777522706857,28271.25429534912,27641.41788482666,649.1747679409123,29626.170082092285,28742.001596965765,16684.06956782114,6849.777622517217,28444.12683858644,23810.441860465115,52680.484622731616,52512.17917860554,65083.773447946514,62607.01107927412,65109.59865570068,14778.88162235591,36972.10744985673,31609.35109837631,27263.34534384669,14726.997898758356,13560.816714422159,15701.0,6404.0,28073.0,27639.0,208.0,29608.0,28466.0,16850.0,25760.0,23362.0,51917.0,51842.5,65099.0,62480.0,65535.0,13389.0,35529.0,32077.5,26767.0,15461.0,13798.0,3349.274482584958,3857.005450310737,2232.194534798798,168.84162768920726,1817.814244115313,302.2160043251565,6443.470705544051,6429.295681226173,3857.0063377526767,13197.548697499868,9135.112231716961,5286.354406893664,5495.071559212438,265.6351104474676,1272.3975607111959,2314.3543717860684,9648.678973295197,12397.603343688736,3388.6079362043074,8871.602674628735,3717.277311205145,2619.2456136546252,D1,N1,t,appliedMASKiso_1mgml_roi1_8bit.ome
appliedMASKiso_flu_1mgml_roi1_8bit.ome,14,99.11377895,56.69252632,0.917860526,3.759331579,127.57,49.727,0.93825,3.8932,19.0,57.09057692,30.37402876,0.046148537,0.897820363,14.0,3033,41.2156,2411,68,35.4559,15,1.1921,0.0134,0.0915,0.1109,131072,0.6197900176048279,1289.3046875,0.3747250735759735,14.552229881286621,15.85137939453125,1195.5753173828125,0.7774853706359863,0.6793123483657837,1111.94677734375,0.3765687048435211,12.402227401733398,10.684510231018066,924.8787841796875,0.8294984102249146,0.23444411158561707,764.1942749023438,0.16486944258213043,8.789377212524414,13.356324195861816,858.141357421875,0.15828654170036316,1mgml,flu,roi1,15241.811108331249,6715.6964301377075,28275.13119506836,27641.162590026855,651.8149285150425,29627.37580871582,28403.330058766776,16453.088939566704,6715.6966055609155,29118.330414477525,23292.963161126216,52911.83170711367,52757.87090317738,65095.22658660662,62664.170294387455,65073.25377655029,14500.95453163017,37415.45584188141,31396.495788508048,26732.282519077275,14516.082728713202,13453.331081644566,15526.0,6314.0,28073.0,27639.0,197.0,29608.0,28408.0,16645.0,26244.0,22984.0,52112.0,52051.0,65107.0,62528.0,65535.0,12951.0,35993.0,31897.0,26397.0,15293.0,13596.0,3439.822489315187,3888.125195136295,2347.8449898587423,159.47042974477026,2042.5252998905173,339.13745578470764,6491.244695696762,6478.685509489333,3888.1261986799705,13543.786128550986,9167.149400327771,5394.251970703753,5593.343647770212,267.90914149157646,1293.2572612513745,2441.022743168578,9415.181956205724,12686.18109122574,3461.8058705501485,8931.987713792543,3812.3343516452373,2701.771862537322,D1,N1,t,appliedMASKiso_1mgml_roi1_8bit.ome
appliedMASKiso_flu_1mgml_roi1_8bit.ome,15,109.5071895,54.82773684,0.897178421,3.736784211,127.69,45.615,0.90968,3.3936,19.0,50.34510786,24.64268574,0.062468061,1.012493844,15.0,2868,43.7019,2282,66,34.5758,13,1.1693,0.0097,0.0815,0.09249,131072,0.639186441898346,1252.63818359375,0.4076593816280365,13.855585098266602,15.641120910644531,1240.7431640625,0.7904850840568542,0.6947945356369019,1088.991943359375,0.4135547876358032,11.900301933288574,10.460325241088867,924.5426635742188,0.8380979299545288,0.23249167203903198,775.72509765625,0.16295409202575684,8.761259078979492,13.616375923156738,939.5067138671875,0.15433411300182343,1mgml,flu,roi1,16174.806403295262,6449.210074302808,28261.69451904297,27642.18327331543,672.6703657242111,29622.400024414062,28042.365724211137,15775.06716201872,6449.210267297115,29428.158022842163,22879.87764160957,53198.487642763524,53040.436060662796,65103.95946451975,62727.13031267553,65098.85915374756,14468.793751942803,38265.48726830182,32355.42941396742,26286.85554376146,15529.07096049429,14374.75491480996,16178.5,5899.0,28073.0,27639.0,190.0,29608.0,28161.0,15524.0,27771.5,22082.0,52967.0,52897.0,65133.0,62714.0,65535.0,13214.5,38306.5,32555.5,25544.0,15853.0,14667.0,3567.048198440073,3720.7417303018747,2284.598323755055,149.86069508472727,2315.451777201488,308.023261144556,6536.578315501135,6519.904984282939,3720.7421738040794,12677.411327565595,9317.96040468803,5159.00050062085,5366.643527621194,254.34027781486336,1241.4294731216667,2405.7270592167247,9313.19366811737,12192.547819719688,3427.640349729261,9096.152779653014,3888.0159224661975,2833.4137760190156,D1,N1,t,appliedMASKiso_1mgml_roi1_8bit.ome
